price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
5600000,1655,3,3,,Ready to Move,Resale,,Semi-Furnished,,Flat,3383.685801,Ghaziabad
2300000,585,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat,3931.623932,New Delhi
15500000,1600,3,2,1,Ready to Move,Resale,2,,2,Flat,9687.5,New Delhi
7000000,1133,2,2,3,Ready to Move,Resale,,,,Flat,6178.287732,Gurgaon
3150000,1050,2,2,3,Ready to Move,Resale,,,,Flat,3000,Ghaziabad
10000000,1650,3,3,2,,Resale,,Unfurnished,,Flat,6060.606061,Gurgaon
3400000,720,2,2,1,Ready to Move,New Property,,Semi-Furnished,,Flat,4722.222222,New Delhi
35200000,2985,3,3,2,Ready to Move,Resale,2,,2,Flat,11792.29481,Gurgaon
5000000,1350,3,2,3,Ready to Move,Resale,,,,Flat,3703.703704,Ghaziabad
3200000,835,3,2,2,Ready to Move,Resale,,,,Flat,3832.335329,Ghaziabad
9800000,1839,3,4,4,Ready to Move,Resale,,Semi-Furnished,2,Flat,5328.983143,Noida
4880000,1180,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Individual House,4135.59322,Ghaziabad
3200000,650,2,2,1,Ready to Move,Resale,,Semi-Furnished,,Individual House,4923.076923,New Delhi
5300000,1175,2,2,,Ready to Move,Resale,,,,Flat,4510.638298,Noida
5250000,1100,2,2,1,Ready to Move,Resale,1,Unfurnished,0,Flat,4772.727273,Faridabad
5500000,1400,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat,3928.571429,Ghaziabad
5000000,1000,2,2,,Ready to Move,Resale,,Unfurnished,,Flat,5000,Noida
24400000,2000,3,3,1,Ready to Move,Resale,1,Semi-Furnished,,Flat,12200,New Delhi
4300000,880,2,2,,Ready to Move,Resale,1,Furnished,,Flat,4886.363636,New Delhi
3500000,700,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Individual House,5000,New Delhi
12500000,2000,3,3,4,Ready to Move,Resale,,,,Flat,6250,Gurgaon
17000000,1500,3,3,3,Ready to Move,Resale,2,,2,Flat,11333.33333,New Delhi
2650000,540,2,2,1,Ready to Move,Resale,,Unfurnished,,Individual House,4907.407407,Gurgaon
8000000,1093,2,2,,Ready to Move,Resale,,,,Flat,7319.304666,Gurgaon
4000000,1100,3,2,2,Ready to Move,Resale,2,Unfurnished,,Flat,3636.363636,Ghaziabad
2500000,600,2,2,2,Ready to Move,Resale,1,Furnished,0,Flat,4166.666667,New Delhi
25000000,2700,4,5,4,,Resale,,Semi-Furnished,,Individual House,9259.259259,Gurgaon
11000000,1000,2,2,2,Ready to Move,Resale,6,Furnished,,Individual House,11000,New Delhi
11400000,1400,3,3,,Ready to Move,Resale,,,,Individual House,8142.857143,New Delhi
5500000,1146,2,2,2,Ready to Move,Resale,,,,Flat,4799.30192,Ghaziabad
10600000,1730,3,3,3,Ready to Move,New Property,,Semi-Furnished,3,Flat,6127.16763,Noida
11000000,1500,4,4,2,Ready to Move,Resale,,,,Flat,7333.333333,Gurgaon
7350000,1435,3,2,4,Ready to Move,Resale,,Unfurnished,,Flat,5121.95122,Noida
5000000,1395,3,2,,Ready to Move,Resale,2,,,Flat,3584.229391,Greater Noida
3800000,887,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,4284.10372,Ghaziabad
5000000,1290,3,2,5,Ready to Move,Resale,,,2,Flat,3875.968992,Ghaziabad
6500000,862,3,3,2,Ready to Move,Resale,4,Semi-Furnished,,Individual House,7540.603248,New Delhi
3100000,1075,2,2,2,Ready to Move,Resale,1,,6,Flat,2883.72093,Ghaziabad
9000000,1660,3,4,3,Ready to Move,Resale,1,,2,Flat,5421.686747,Noida
11000000,2000,3,4,3,,New Property,2,Semi-Furnished,3,Flat,5500,Noida
15000000,1350,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat,11111.11111,New Delhi
13500000,1850,4,3,1,Ready to Move,Resale,2,,,Flat,7297.297297,New Delhi
24000000,2000,3,3,3,Ready to Move,Resale,2,Semi-Furnished,,Flat,12000,New Delhi
6000000,1150,2,2,,Ready to Move,Resale,1,,,Flat,5217.391304,Noida
37500000,2800,4,4,,Ready to Move,Resale,3,Semi-Furnished,1,Flat,13392.85714,New Delhi
5950000,1330,3,2,,Ready to Move,Resale,1,Unfurnished,2,Flat,4473.684211,Noida
5140000,1360,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,3779.411765,Ghaziabad
9000000,1600,3,3,2,Ready to Move,Resale,,,,Individual House,5625,Gurgaon
3500000,625,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat,5600,New Delhi
22500000,1800,3,3,,Ready to Move,New Property,2,Semi-Furnished,,Flat,12500,New Delhi
6800000,1095,2,2,2,Ready to Move,Resale,1,,,Flat,6210.045662,Ghaziabad
22000000,3500,4,4,4,Ready to Move,New Property,2,,1,Flat,6285.714286,Gurgaon
11000000,1150,2,2,2,Ready to Move,Resale,3,,0,Flat,9565.217391,New Delhi
8400000,1080,2,2,,Ready to Move,Resale,1,,,Flat,7777.777778,Ghaziabad
21000000,1600,3,2,1,Ready to Move,New Property,11,,,Flat,13125,New Delhi
12500000,1110,3,3,3,Ready to Move,Resale,2,,,Flat,11261.26126,New Delhi
5700000,1100,2,2,1,Ready to Move,Resale,1,,,Flat,5181.818182,Ghaziabad
4000000,1080,3,2,2,,New Property,,Unfurnished,,Flat,3703.703704,Faridabad
15000000,1350,3,3,1,Ready to Move,New Property,,Semi-Furnished,,Flat,11111.11111,New Delhi
4000000,1080,2,2,2,Ready to Move,Resale,,,,Individual House,3703.703704,Ghaziabad
5200000,1585,3,3,2,Ready to Move,Resale,,,,Flat,3280.757098,Faridabad
2800000,870,2,2,2,Ready to Move,Resale,1,,2,Flat,3218.390805,Greater Noida
8000000,2032,3,4,4,Ready to Move,Resale,1,,2,Flat,3937.007874,Faridabad
25000000,2734,4,4,4,Ready to Move,Resale,1,,2,Flat,9144.111192,Gurgaon
13900000,1440,3,4,1,Ready to Move,Resale,,Semi-Furnished,,Individual House,9652.777778,New Delhi
15000000,1900,3,3,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat,7894.736842,New Delhi
18500000,1250,3,2,,Ready to Move,Resale,2,,,Flat,14800,New Delhi
3000000,700,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat,4285.714286,Ghaziabad
4500000,1000,2,2,2,Ready to Move,Resale,2,Semi-Furnished,1,Flat,4500,Gurgaon
5800000,900,2,2,2,Ready to Move,Resale,1,Semi-Furnished,0,Flat,6444.444444,New Delhi
23500000,3200,4,5,5,Ready to Move,Resale,2,Furnished,,Flat,7343.75,Gurgaon
4700000,1110,3,2,2,Ready to Move,New Property,1,Semi-Furnished,1,Flat,4234.234234,New Delhi
17000000,1500,4,2,1,Ready to Move,Resale,,,2,Flat,11333.33333,New Delhi
5200000,750,2,2,2,Ready to Move,Resale,2,Semi-Furnished,,Flat,6933.333333,New Delhi
10000000,1710,3,3,5,Ready to Move,New Property,,Furnished,,Flat,5847.953216,Ghaziabad
7500000,1220,2,2,3,Ready to Move,Resale,,,,Flat,6147.540984,Gurgaon
4200000,1040,2,2,2,Ready to Move,Resale,1,Semi-Furnished,,Flat,4038.461538,Greater Noida
12000000,1600,4,4,2,Ready to Move,Resale,1,Semi-Furnished,,Flat,7500,New Delhi
4200000,1135,2,2,3,Ready to Move,Resale,1,,3,Individual House,3700.440529,Ghaziabad
14000000,2000,4,4,1,Ready to Move,Resale,2,Semi-Furnished,,Flat,7000,Ghaziabad
6300000,900,2,2,1,Ready to Move,New Property,2,Semi-Furnished,,Flat,7000,Gurgaon
27500000,3332,4,5,8,Ready to Move,New Property,2,,2,Flat,8253.301321,Ghaziabad
10700000,1480,3,2,2,Ready to Move,Resale,,,,Flat,7229.72973,Ghaziabad
2800000,930,2,2,3,Ready to Move,New Property,1,,5,Flat,3010.752688,Ghaziabad
16000000,1500,3,2,3,Ready to Move,Resale,5,,0,Flat,10666.66667,New Delhi
2500000,700,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat,3571.428571,New Delhi
8900000,1585,3,3,4,Ready to Move,Resale,1,,2,Flat,5615.141956,Ghaziabad
4800000,1225,3,2,2,Ready to Move,Resale,1,,,Flat,3918.367347,Greater Noida
10500000,1817,3,3,3,Ready to Move,Resale,203,,2,Flat,5778.756192,Gurgaon
6200000,1315,3,2,5,Ready to Move,Resale,1,,2,Flat,4714.828897,Noida
6400000,1277,3,2,4,Ready to Move,New Property,1,Semi-Furnished,2,Individual House,5011.74628,Noida
4400000,900,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat,4888.888889,New Delhi
5800000,1260,2,2,3,Ready to Move,Resale,,,,Flat,4603.174603,Noida
9500000,1560,3,3,3,Ready to Move,Resale,2,,2,Flat,6089.74359,Noida
47000000,4500,3,3,,Ready to Move,New Property,2,Semi-Furnished,,Flat,10444.44444,Gurgaon
8500000,920,2,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat,9239.130435,New Delhi
15000000,2400,4,4,2,Ready to Move,New Property,10,Semi-Furnished,1,Flat,6250,Gurgaon
3000000,670,2,2,2,Ready to Move,Resale,,Unfurnished,,Flat,4477.61194,New Delhi
30000000,4000,4,4,4,Ready to Move,Resale,,Unfurnished,,Individual House,7500,Gurgaon
2350000,710,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat,3309.859155,Ghaziabad
15000000,1800,3,3,2,Ready to Move,Resale,1,Furnished,,Flat,8333.333333,Gurgaon
7800000,1295,2,2,4,Ready to Move,New Property,,,,Individual House,6023.166023,Gurgaon
14300000,1650,4,4,2,Ready to Move,New Property,1,,,Flat,8666.666667,Gurgaon
5300000,1125,2,2,2,Ready to Move,Resale,,,,Flat,4711.111111,Ghaziabad
2600000,800,2,2,,Ready to Move,Resale,,,,Flat,3250,Ghaziabad
11000000,1400,3,2,2,Ready to Move,Resale,2,,,Flat,7857.142857,New Delhi
8500000,900,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Individual House,9444.444444,New Delhi
