price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
5300000,1745,3,3,3.0,Ready to Move,Resale,1.0,,2.0,Flat,3037.249284,Greater Noida
3450000,800,2,2,2.0,Ready to Move,Resale,2.0,,0.0,Flat,4312.5,Ghaziabad
7000000,1185,3,3,,Ready to Move,Resale,,,,Individual House,5907.172996,Gurgaon
4200000,980,2,2,2.0,Ready to Move,New Property,,,,Individual House,4285.714286,Greater Noida
3800000,985,2,2,,Ready to Move,Resale,,,,Individual House,3857.86802,Noida
3480000,945,2,2,,Ready to Move,Resale,,Unfurnished,,Flat,3682.539683,Greater Noida
3650000,675,2,2,2.0,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,5407.407407,Faridabad
4500000,1195,3,2,3.0,Ready to Move,Resale,,,,Flat,3765.690377,Noida
4000000,800,2,2,,Ready to Move,Resale,,Furnished,,Individual House,5000.0,Greater Noida
6000000,1575,3,3,4.0,,Resale,,Semi-Furnished,,Flat,3809.52381,Greater Noida
18900000,2319,3,3,5.0,Ready to Move,Resale,2.0,,2.0,Flat,8150.064683,Gurgaon
7700000,1269,2,2,,Ready to Move,Resale,,,,Flat,6067.769898,Gurgaon
3520000,770,2,2,,,Resale,,Semi-Furnished,,Flat,4571.428571,Ghaziabad
29500000,3000,4,4,3.0,Ready to Move,New Property,2.0,Semi-Furnished,1.0,Flat,9833.333333,Gurgaon
9500000,1650,3,3,,Ready to Move,Resale,,,3.0,Flat,5757.575758,Ghaziabad
2500000,700,2,2,,Ready to Move,Resale,,Unfurnished,,Flat,3571.428571,Ghaziabad
8500000,1495,3,2,4.0,Ready to Move,Resale,1.0,,2.0,Flat,5685.618729,Noida
4000000,1200,3,2,3.0,Ready to Move,Resale,2.0,,,Flat,3333.333333,Ghaziabad
3400000,1025,2,2,2.0,Ready to Move,Resale,1.0,,,Flat,3317.073171,Ghaziabad
12500000,2180,3,3,2.0,Ready to Move,Resale,,,,Individual House,5733.944954,Gurgaon
3600000,569,2,2,1.0,Ready to Move,Resale,,Semi-Furnished,,Flat,6326.889279,Gurgaon
9000000,1520,3,3,4.0,Ready to Move,Resale,,,,Flat,5921.052632,Faridabad
7500000,1250,3,2,2.0,Ready to Move,Resale,2.0,Semi-Furnished,1.0,Flat,6000.0,New Delhi
8870000,1690,3,3,4.0,Ready to Move,Resale,,,,Flat,5248.52071,Gurgaon
6000000,942,2,2,3.0,Ready to Move,Resale,1.0,,3.0,Individual House,6369.426752,Ghaziabad
26000000,3500,6,6,,Ready to Move,Resale,,Unfurnished,,Individual House,7428.571429,Noida
10000000,1595,3,3,,Ready to Move,Resale,,,,Flat,6269.592476,Noida
8000000,2032,3,4,4.0,Ready to Move,Resale,1.0,,2.0,Flat,3937.007874,Faridabad
4500000,900,2,2,,Ready to Move,Resale,,Furnished,,Flat,5000.0,New Delhi
14500000,1400,3,2,2.0,Ready to Move,Resale,1.0,,,Flat,10357.14286,New Delhi
12500000,2000,3,2,,Ready to Move,Resale,,Furnished,,Flat,6250.0,Ghaziabad
22500000,2318,3,3,3.0,Ready to Move,Resale,2.0,,2.0,Individual House,9706.643658,Noida
4300000,1110,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,3873.873874,Greater Noida
7500000,1368,3,2,2.0,Ready to Move,Resale,,Unfurnished,,Individual House,5482.45614,New Delhi
5300000,1081,3,2,2.0,,New Property,,Unfurnished,,Flat,4902.867715,Gurgaon
2650000,700,2,2,2.0,Ready to Move,Resale,,Furnished,,Flat,3785.714286,New Delhi
2500000,560,2,2,1.0,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,4464.285714,Gurgaon
2500000,700,2,2,1.0,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,3571.428571,New Delhi
9000000,1800,3,3,3.0,Ready to Move,Resale,,,,Flat,5000.0,Greater Noida
3800000,990,2,2,,Ready to Move,Resale,1.0,,3.0,Flat,3838.383838,Noida
12000000,900,2,2,1.0,Ready to Move,Resale,1.0,,,Flat,13333.33333,New Delhi
